fid,field_1,trap,trapnb,Unit,Unit_Class,Unit_code,Oc.detritu,Oc.caspius,Cx.theiler,Cx.pipiens,Cx.modestu,Cx.perexig,An.atropar,IShannon,Total_mosq,Riqueza_me,HIDRO_MEAN,HIDRO_ME_1,HIDRO_ME_2,HIDRO_ME_3,LULC_100,LULC_250,LULC_500,LULC_1000,LULC_2000,NDVI_100,NDVI_250,NDVI_500,NDVI_1000,NDVI_2000,DIST_RIO,DIST_ARROZ,DIST_urban,Norte,Oeste,LST_1
"66","28",M12,"28",Monte,Scrubland,"4",0.44,50.11,66,26.89,0.67,39.78,14.33,1.271660775,"2004",4.44,0.51,1.01,2.96,1.72,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.495813632,0.396218484,0.386511596,0.385898698,0.401749459,"18817","19605","2384",37.00638333,-6.5065,23.7310619354248
"67","29",M13,"29",Monte,Scrubland,"4",0.14,1406.64,468.29,8.36,4.43,26.79,93,0.494618498,"14054",3.57,0,3.34,7.78,47.79,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.329199236,0.400789106,0.418860753,0.422829256,0.403388355,"13905","14716","8005",37.02410972,-6.4461725,26.5143203735352
"68","30",M14,"30",Monte,Scrubland,"4",0.78,17.11,82.22,4.78,0.11,1.78,13.33,0.844194833,"1091",3.33,51.1,21.74,11.41,5.72,Bosque,Bosque,Matorral,Matorral,Scrubland/forest,0.487121855,0.469747412,0.391507138,0.363816692,0.374603731,"20168","17672","4773",37.03861667,-6.514166667,23.2954044342041
"69","31",M15,"31",Monte,Scrubland,"4",0,39.5,265.75,8.63,0.13,3.13,5.88,0.386171065,"2585",2.5,18.47,10.2,11.07,5.36,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.341745707,0.353531145,0.382714555,0.39853494,0.385077416,"19213","16696","5627",37.04103,-6.502439722,25.6212425231934
"70","32",M16,"32",Monte,Scrubland,"4",0,92.38,137.13,3,0,3.75,11.13,0.527029729,"1979",2.63,1.71,10.51,7.79,8.96,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.404654383,0.366222902,0.382119357,0.380852667,0.371447746,"19784","16341","6207",37.05011,-6.506376111,24.4687938690186
"71","33",M17,"33",Monte,Scrubland,"4",0,51.75,181.25,1.75,0.13,3.75,4.75,0.344605041,"1948",2.88,7.35,8.93,7.11,8,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.387574527,0.351175052,0.37838273,0.374014393,0.357816544,"20116","16111","6596",37.05599167,-6.508484167,19.0122890472412
"72","34",M18,"34",Monte,Scrubland,"4",0,162.63,332,6.38,8.88,11.63,26.75,0.773768864,"4386",3.38,0,0.59,1.09,31.97,Pastizal,Matorral,Matorral,Matorral,Scrubland/forest,0.385325876,0.415354438,0.369432623,0.366776126,0.380723375,"15383","12119","7901",37.0586025,-6.452896667,26.123966217041
"73","35",M19,"35",Monte,Scrubland,"4",0,860.25,860.13,15.5,2.75,19,16.63,0.523757983,"14198",4,0,0.42,0.23,12.01,Bosque,Bosque,Bosque,Matorral,Halophytic vegetation,0.442616925,0.449355355,0.457922836,0.379916653,0.400295284,"16627","12020","6543",37.0692075,-6.463371389,24.3471202850342
"74","36",M20,"36",Monte,Scrubland,"4",0,1365.63,1009.63,1.75,9,4.88,18.25,0.537601509,"19274",3.13,114.53,102.65,84.98,73.5,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.32716175,0.347853673,0.325158579,0.27300405,0.225422102,"15254","10769","6831",37.07066056,-6.44627,26.010871887207
"75","37",M21,"37",Monte,Scrubland,"4",0,1085,896.75,8.63,0.13,9.25,29.25,0.488410477,"16254",4,0,1.59,0.46,7.81,Pastizal,Pastizal,Bosque,Matorral,Scrubland/forest,0.299677684,0.325792297,0.430127156,0.379313053,0.352614233,"17223","11652","5542",37.07791917,-6.466484444,26.4005088806152
"76","38",M22,"38",Monte,Scrubland,"4",0,1001.25,1176,4.38,0.38,5.13,9.5,0.39401462,"17575",3.25,0.46,1.04,0.5,4.33,Pastizal,Matorral,Matorral,Matorral,Scrubland/forest,0.317692834,0.309856185,0.322477215,0.323780291,0.344998877,"17826","11652","4867",37.0835525,-6.471112778,28.0284938812256
"77","39",M24,"39",Monte,Scrubland,"4",0,176.13,1043.38,14.88,2.13,4.38,17.25,0.560864366,"10071",3.75,59.34,50.67,44.98,37.24,Bosque,Bosque,Bosque,Vegetaci? hidr?ila,Pastizal,0.385223573,0.337661273,0.297730924,0.318540536,0.393720256,"19636","10662","1331",37.11518389,-6.475775278,26.1154747009277
"78","40",M25,"40",Monte,Scrubland,"4",0.13,7.13,3.5,0.5,0,0.13,0.25,0.635181207,"96",2,0,0,0,0,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.2750782,0.275379595,0.272189923,0.292228495,0.301462001,"23224","21567","1164",37.02223333,-6.553666667,22.3462562561035
"79","41",M26,"41",Monte,Scrubland,"4",0.11,14.78,116.67,6.11,0,5.11,3.56,0.574773948,"1327",2.78,0,0.21,1.45,8.25,Bosque,Bosque,Bosque,Matorral,Scrubland/forest,0.376343473,0.414728544,0.417425034,0.323113625,0.326451764,"23108","19808","3400",37.04231667,-6.547,19.3097972869873
"80","42",M27,"42",Monte,Scrubland,"4",0,25.56,855.67,5.11,1.44,5.67,12,0.699405204,"8157",3.33,2.78,3.97,6.24,7.34,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.323437851,0.326865376,0.332930887,0.320960186,0.330543547,"21892","18729","4104",37.04278333,-6.532833333,25.4420909881592
"81","89",T1,"90",Monte,Scrubland,"4",0.29,8.29,1.14,8.43,0,2.43,0.14,0.596933617,"1896",3.67,0,0,0,0.05,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.158238341,0.25083523,0.285512003,0.306526148,0.314320459,"21644","20677","1731",37.01789722,-6.536580556,27.2242221832275
"82","90",T2,"91",Monte,Scrubland,"4",4.89,38.44,26.56,53.33,0.78,46.78,17.56,1.340929811,"146",2.57,0.12,0.16,1.22,4.03,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.46987959,0.411778856,0.412279779,0.427618942,0.413890901,"17567","19587","2790",36.99735556,-6.496225,24.8876190185547
"83","91",T3,"92",Monte,Scrubland,"4",9.56,6.67,68,13.33,0.33,22.78,1.89,1.229578735,"1710",4.78,5.4,31.19,29.03,15.71,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.402871511,0.462382785,0.478374858,0.417433908,0.37533397,"15695","18604","3943",36.98390278,-6.482813889,23.596363067627
"84","92",T4,"93",Monte,Scrubland,"4",2.22,35.11,178,5.89,0.44,16,9.56,1.077115322,"1114",3.89,1.04,3.41,13.11,45.19,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.504437567,0.53815864,0.453208441,0.438067047,0.426840463,"13725","15657","6805",36.99031944,-6.450638889,22.8875923156738
"85","93",T5,"94",Monte,Scrubland,"4",0.33,25.89,142.33,6.56,0,13.56,10.11,0.895384656,"2238",4.33,10.74,41.8,67.33,74.16,Pastizal,Pastizal,Pastizal,Matorral,Scrubland/forest,0.33166126,0.363873787,0.389474265,0.431498307,0.419213915,"13068","15039","7466",36.98892778,-6.443291667,27.4583511352539
"86","73",P01,"74",Playa,Sand_dunes,"5",3.88,3691.5,31,5.75,5.5,1.63,0.38,0.761121937,"3864",2.83,11.25,4.18,6.65,7.69,Bosque,Bosque,Bosque,Bosque,Bare soil,0.489053446,0.466438817,0.466829545,0.50193317,-0.147004609,"550","24264","1317",36.80309639,-6.351399167,21.4961624145508
"87","74",P02,"75",Playa,Sand_dunes,"5",4,2458.13,19.38,0.13,0,1.88,0.13,0.485575105,"29924",3.75,0,7.35,15.78,13.87,Bosque,Bosque,Bosque,Bosque,Scrubland/forest,0.540795237,0.538740097,0.506532084,0.479610296,0.473529127,"1126","23454","2914",36.81399639,-6.364190556,19.8931465148926
"88","75",P03,"76",Playa,Sand_dunes,"5",45.56,2675,35.89,0.78,3.56,1.44,3.11,0.530803133,"19869",2.5,9.91,12.48,15.83,17.73,Bosque,Bosque,Bosque,Bosque,Scrubland/forest,0.445376662,0.471147932,0.475123871,0.486573327,0.471440713,"1388","21706","5249",36.83407111,-6.374286667,21.3150043487549
"89","76",P04,"77",Playa,Sand_dunes,"5",16.22,720,75.67,2.56,0,4.56,2.33,0.761766225,"24906",3.33,0.27,5.84,38.62,43.41,Bosque,Bosque,Bosque,Bosque,Scrubland/forest,0.39973334,0.394727274,0.422190357,0.425818016,0.431809381,"1067","19941","6668",36.8503525,-6.371141389,22.3441352844238
"90","77",P05,"78",Playa,Sand_dunes,"5",3.89,362,111.67,12.78,0.22,8.89,5.33,0.970061773,"7400",4,47.96,75.33,78.17,69.06,Zonas sin vegetaci?,Zonas sin vegetaci?,Zonas sin vegetaci?,Zonas sin vegetaci?,Bare soil,0.308105563,0.122804849,-0.066553004,-0.129431872,-0.075904001,"1692","19395","7698",36.8582575,-6.377309444,24.3147163391113
"91","78",P06,"79",Playa,Sand_dunes,"5",19,11.5,67.5,74,0,11.5,0,1.596710061,"4572",4.33,67.39,78.87,83.34,74.06,Zonas sin vegetaci?,Zonas sin vegetaci?,Zonas sin vegetaci?,Zonas sin vegetaci?,Bare soil,0.055020296,0.010995868,-0.019609974,-0.05851678,-0.073502568,"3094","18157","10021",36.87682417,-6.389315556,25.1566352844238
"92","79",P07,"80",Playa,Sand_dunes,"5",7.89,594.78,215.67,10.11,5.89,3.22,17.33,0.733177235,"376",4.5,0,26.17,61.67,82.08,Bosque,Bosque,Bosque,Bosque,Bare soil,0.495603668,0.453246149,0.421044973,0.401323956,-0.125234375,"3319","17254","10950",36.88629889,-6.388662222,22.0276622772217
"93","80",P08,"81",Playa,Sand_dunes,"5",4.38,268,358,8.75,1.75,2.63,28.63,0.601210975,"7727",4.22,0,0,0.26,9.36,Bosque,Matorral,Matorral,Bosque,Scrubland/forest,0.278077483,0.250827919,0.240653041,0.333375287,0.148879143,"4756","17002","12535",36.89722389,-6.401538611,27.7431659698486
"94","81",P09,"82",Playa,Sand_dunes,"5",7.78,319.56,752.44,19.33,0.11,8.56,27.56,0.884154184,"5433",3.75,0,0.05,1.81,58.89,Bosque,Bosque,Bosque,Bosque,Bare soil,0.363973149,0.386014046,0.409486822,0.377060158,-0.099588728,"3842","16870","11759",36.89288389,-6.392536944,26.7635459899902
"95","82",P10,"83",Playa,Sand_dunes,"5",5.56,35.78,523.22,143.33,2.33,11.33,24.44,1.239327778,"10310",4.78,136.33,112.51,110.12,111.71,Vegetaci? hal?ila,Vegetaci? hal?ila,Zonas sin vegetaci?,Zonas sin vegetaci?,Bare soil,-0.038548137,-0.004544319,-0.066418215,-0.151421435,-0.130173573,"3810","15255","13019",36.90713028,-6.385780278,22.2544212341309
"96","83",P11,"84",Playa,Sand_dunes,"5",1.13,604,376.75,6.5,9.13,4.13,118,1.100347354,"6801",6.33,0,0,0.34,14.57,Matorral,Matorral,Pastizal,Pastizal,Scrubland/forest,0.111711194,0.080433072,-0.037249401,0.013630293,0.063484988,"6643","16367","12549",36.91630556,-6.415444722,26.914571762085
"97","84",P12,"85",Playa,Sand_dunes,"5",15.33,337,456.89,23.89,3,13,23.89,1.016939867,"8999",5,0,0.1,0.88,1.24,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.021564662,-0.00172913,0.026037256,0.022888784,0.026725619,"9407","17937","9974",36.9241275,-6.444994167,24.6522846221924
"98","85",P13,"86",Playa,Sand_dunes,"5",2.63,410.13,1021.13,17.13,9.88,9.5,13.25,0.741838646,"7995",4.89,0.52,1.09,5.92,35.8,Pastizal,Pastizal,Pastizal,Pastizal,Pastizal,-0.05241792,-0.051252102,-0.024227,0.089762436,0.119363389,"7438","16071","11618",36.92521056,-6.420247778,26.4328098297119
"99","86",P14,"87",Playa,Sand_dunes,"5",1.5,526.33,489,2.33,0.17,21.5,57,0.903663632,"12038",4.25,0,0.42,6.85,45,Pastizal,Pastizal,Pastizal,Pastizal,Pastizal,-0.042660878,-0.046447651,0.010881604,0.098886165,0.117029986,"7083","15870","11962",36.92421556,-6.416417778,25.4100246429443
"100","87",P17,"88",Playa,Sand_dunes,"5",0.13,22.25,380.63,4.38,5.25,5.63,1.25,0.42459816,"6668",4.5,0,0,0.02,1.47,Bosque,Matorral,Zonas sin vegetaci?,Zonas sin vegetaci?,Bare soil,0.315422985,0.082742559,-0.040500268,-0.103100884,-0.226761613,"17592","21581","1440",36.9764775,-6.515072222,23.7958068847656
"101","88",P18,"89",Playa,Sand_dunes,"5",1.78,35.67,86.56,5.67,31.78,10.11,38.11,1.094848034,"3385",3.5,0,0,0,0.86,Matorral,Matorral,Zonas sin vegetaci?,Zonas sin vegetaci?,Bare soil,0.186048023,0.166059713,0.04911684,-0.091049111,-0.219974492,"18731","22215","283",36.98445583,-6.523993611,26.6923847198486
"102","102",V1,"103",Veta la Palma,Fishponds,"6",31.78,109.89,163.78,0.11,3.33,0,0.89,0.34339055,"15738",4,25.97,43.87,64.05,72.31,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.198288785,0.222648467,0.236798494,0.202850111,0.083834992,"104","11036","9351",36.91386,-6.27175,18.3947868347168
"103","103",V10,"104",Veta la Palma,Fishponds,"6",8.22,229.33,826.22,0,16.33,0,0.67,0.263566622,"2789",2.22,78.57,130.23,127.92,107.46,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.22147761,0.216399918,0.172624375,0.122519806,0.121845434,"2902","2931","13630",36.99408,-6.21948,24.7831420898438
"104","104",V2,"105",Veta la Palma,Fishponds,"6",0.5,76.13,54.25,0.63,4.13,1.63,0,0.36242976,"9732",2.33,65.28,63.17,56.53,44.05,Zonas sin vegetaci?,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Bare soil,0.114855978,0.132142064,0.160991263,0.177458472,-0.185164277,"1146","8584","6355",36.9227,-6.2177,22.4940986633301
"105","105",V3,"106",Veta la Palma,Fishponds,"6",54.29,497,269.43,0,2.14,0,0.14,0.623551505,"1100",2.25,45.31,71.61,92.43,87.09,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.291231066,0.255434744,0.207513744,0.127113325,0.077261956,"108","8496","10368",36.93683,-6.2654,23.4746913909912
"106","106",V4,"107",Veta la Palma,Fishponds,"6",15,124.17,524.17,0.67,29,18.67,0,0.99569241,"5769",2.57,61.04,75.75,80.19,85.7,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.125594559,0.167442988,0.176186186,0.137025094,0.095571312,"270","7297","11135",36.94771,-6.26429,24.4028339385986
"107","107",V5,"108",Veta la Palma,Fishponds,"6",4.63,180.38,102.88,0,11.13,0,0,0.323669809,"4275",3.83,150.85,108.06,95.35,72.68,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.093891077,-0.065767341,-0.054084312,0.028500263,0.094914284,"1272","6004","7835",36.94318,-6.202983,16.1163940429688
"108","108",V6,"109",Veta la Palma,Fishponds,"6",21.75,111.63,83.75,0.13,9.5,0.13,0,0.399958269,"2392",2,169.36,139.53,123.68,93.75,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.166988382,-0.131249436,-0.027686982,0.021323274,0.055282371,"3247","4664","10382",36.96333,-6.21771,23.5867748260498
"109","109",V7,"110",Veta la Palma,Fishponds,"6",30.38,276,289.5,1.88,18.5,2.63,0.75,0.634373181,"1826",2.75,77.23,85.9,72.96,71.51,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Zonas sin vegetaci?,Halophytic vegetation,0.147744239,0.128262,0.124946263,-0.052762076,0.143572674,"1749","4343","13453",36.9744,-6.26458,24.228343963623
"110","110",V8,"111",Veta la Palma,Fishponds,"6",6.33,128.33,162.33,0.11,2.56,0.11,1.22,0.542511017,"4957",3.25,42.38,73.88,61.97,68.72,Zonas sin vegetaci?,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.197603303,0.262170794,0.267654914,0.247118677,0.197219435,"270","3005","14440",36.98774,-6.25905,24.5734767913818
"111","111",V9,"112",Veta la Palma,Fishponds,"6",0.44,8.78,190.56,0,17.56,0,0,0.439738199,"2719",3.33,91.84,95.55,88.64,104.4,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.001894691,0.127891634,0.175701294,0.119473439,0.115428267,"3426","2812","13012",36.99025,-6.21421,21.4855823516846
